String,Ref. Ten. (lbs),Swing Speed,Material,Gauge Nominal (mm),Gauge Acutal (mm),Stretch at 40 lbs (%),Stretch at 51 lbs (%),Stretch at 62 lbs (%),Actual Pre-impact Tension (lbs),Dwell Time (ms),Deflection (mm),Tension Change (lbs),Peak Tension (lbs),Peak Perp. Force (lbs),Ave Perp. Force (lbs),Stiffness (lb/in),Static Loss lbs.,Stabilization Loss (lbs),Impact Loss (lbs).,Total Loss (lbs),Tension Loss (%),Energy Return (%),String/String COF,String/Ball COF,Spin Potential
Pacific PMX 16L,51,Medium,Nylon,1.28,1.28,7.6,8.8,10,37.95,37,29,32.9,70.8,25.7,,157.7,5.23,7.54,0.11,12.8,25.4,93.7,0.192,0.392,2
Pacific Poly Force 17,51,Medium,Polyester,1.24,1.28,1.5,2.1,3,32.66,35.7,26,43.7,76.3,24.8,,262.3,7.1,10.96,0.29,18.3,36.2,89.7,0.08,0.356,4.5
Pacific ATP Poly Power Pro 16L,51,Medium,Polyester,1.25,1.27,2.1,3,3,25.49,38.3,28,42.3,67.7,23.7,,219.5,8.6,16.63,0.4,25.6,50.5,86.9,0.092,0.461,5
Pacific Premium Power X 16L,51,Medium,Nylon,1.27,1.29,8.8,10.3,11.8,38.74,37,27,30,68.8,23.2,,167.4,7.36,4.62,0.04,12.1,23.7,96,0.111,0.37,3.3
Poly Star Turbo 16L (1.25),51,Medium,Polyester,1.25,1.24,3.3,7.6,10.3,18.21,41.7,30,40.8,58.9,22.1,,184.6,13.23,19.28,0.48,33.1,65,85,0.105,0.521,5
Poly Star Strike 16L (1.25),51,Medium,Polyester,1.25,1.27,2.4,3.9,5.2,25.31,39.1,28,39.7,65,22.7,,205.7,8.16,17.25,0.39,25.8,50.9,88.7,0.087,0.415,4.8
Poly Star Energy 16 (1.30),51,Medium,Polyester,1.3,1.3,2.1,4.5,8.2,17.73,41.3,29.5,41.2,58.9,21.7,,192.6,11.49,21.5,0.53,33.5,66.1,83.4,0.089,0.354,4
Poly Star Classic 16 (1.30),51,Medium,Polyester,1.3,1.32,2.1,3,4.8,23.09,39.2,28,40.8,63.7,22.3,,210.9,9.5,18.13,0.2,27.8,54.9,85.9,0.111,0.466,4.2
Poly Star Strike 16 (1.30),51,Medium,Polyester,1.3,1.3,1.8,3,4.5,26.35,38.1,27.3,41,67.5,23,,223.5,8.78,15.59,0.29,24.7,48.6,88.4,0.081,0.414,5.1
Poly Star Energy 16L (1.25),51,Medium,Polyester,1.25,1.25,2.4,5.2,8.5,16.67,42,30,41.7,58.4,21.9,,188,12.86,21.19,0.22,34.2,67.6,81.5,0.096,0.354,3.7
Poly Star Classic 16L (1.25),51,Medium,Polyester,1.25,1.25,2.4,3.9,5.8,23.42,39.5,28,39.7,63.3,22.1,,205.7,9.15,18.15,0.36,27.6,54.5,86.7,0.083,0.368,4.4
Poly Star Turbo 16 (1.30),51,Medium,Polyester,1.3,1.28,2.7,5.5,8.8,17.57,41.8,30,40.8,58.4,21.9,,184.6,12.39,20.76,0.46,33.5,66.3,83.2,0.101,0.534,5.3
Poly Star Energy 17 (1.20),51,Medium,Polyester,1.2,1.23,2.7,4.5,7.6,19.01,41.4,29.7,40.6,59.5,22.1,,187.5,12.13,19.58,0.42,32.2,63.3,83.9,0.092,0.366,4
Poly Star Classic 17 (1.20),51,Medium,Polyester,1.2,1.22,2.4,4.5,7.6,19.89,41,29.2,39.7,59.5,21.7,,189.2,10.3,20.53,0.4,31.3,61.6,83.9,0.09,0.362,4
Polyfibre TCS 17,51,Medium,Polyester,1.2,1.21,3,5.8,8.8,19.05,41.8,30,38.1,57.3,21.5,,172.6,11.38,20.29,0.53,32.2,63.5,84.8,0.1,0.418,4.2
Polyfibre Viper 16L/1.25,51,Medium,Polyester,1.25,1.23,2.7,4.2,6.7,20.82,40.9,29.2,39.7,60.6,22.1,,189.7,10.21,19.69,0.4,30.2,59.7,85.9,NA,NA,NA
Polyfibre Poly Hightec 17,51,Medium,Polyester,1.2,1.16,2.7,5.5,7.9,19.54,41.8,30,38.6,58,21.8,,174.3,10.89,20.29,0.49,31.8,62.4,84.1,0.099,0.395,4
Polyfibre TCS 18 (1.15),51,Medium,Polyester,1.15,1.16,3.6,7.3,9.7,20.35,41.4,29.9,37.9,58.4,21.8,,172.6,11.47,18.9,0.42,30.9,60.7,85,NA,NA,NA
Polyfibre TCS 16/1.30,51,Medium,Polyester,1.3,1.3,1.8,3.6,6.1,21.15,40.6,29.6,40.6,61.7,22.9,,188.6,10.17,19.4,0.51,30,59.3,84.8,0.088,0.387,4.4
Polyfibre Hexablade 16L (1.25),51,Medium,Polyester,1.25,1.27,2.4,4.2,7.6,19.47,40.7,29,40.1,59.5,21.6,,193.7,11.2,20.05,0.44,31.8,62.5,85.9,0.097,0.443,4.6
Polyfibre Hightec Premium 16L,51,Medium,Polyester,1.25,1.25,2.1,3.6,6.1,21.06,40.4,29,40.1,61.3,22.2,,194.3,9.88,19.78,0.55,30.2,59.6,85.9,0.085,0.374,4.4
Polyfibre Cobra 17/1.20,51,Medium,Polyester,1.2,1.24,2.7,4.8,8.2,19.12,42.2,30.1,38.4,57.3,21.6,,172,10.47,21.13,0.49,32.2,63.3,84.5,0.107,0.385,3.6
Polyfibre Poly Hightec 18,51,Medium,Polyester,1.1,1.1,4.2,7.9,10.6,20.42,42,30,36.8,57.3,21.5,,166.3,10.74,19.56,0.44,30.6,60.6,86.5,0.112,0.435,3.9
Polyfibre Black Venom 16L (1.25),51,Medium,Polyester,1.25,1.25,2.7,4.8,6.7,20.73,40.6,29,39.2,59.8,21.7,,189.2,10.52,19.47,0.38,30.4,59.9,85.6,NA,NA,NA
Polyfibre Viper 17/1.20,51,Medium,Polyester,1.2,1.23,2.7,5.2,8.2,18.76,42.2,30,39,57.8,21.7,,176.6,11.03,20.93,0.39,32.4,63.8,84.5,0.105,0.412,3.9
Polyfibre Hightec Premium 16/1.30,51,Medium,Polyester,1.3,1.3,2.1,3.3,6.1,22.07,40.2,29,40.8,62.8,22.8,,197.2,9.68,18.97,0.46,29.1,57.4,85.6,0.093,0.387,4.2
Polyfibre Hexablade 17L (1.18),51,Medium,Polyester,1.18,1.21,2.7,6.1,9.1,19.16,41.2,29.7,39.2,58.4,21.7,,180,11.49,20.07,0.46,32,63.1,84.6,0.1,0.52,5.2
Polyfibre Hightec Premium 17,51,Medium,Polyester,1.2,1.18,3,5.5,8.2,20.02,41.6,29.9,38.8,58.9,22,,176,10.54,20.16,0.42,31.1,61.3,85.6,0.103,0.4,3.9
Polyfibre TCS Rapid 16L/1.25,51,Medium,Polyester,1.25,1.25,2.4,5.2,8.5,18.76,42.1,30,39,57.8,21.7,,176,11.53,20.43,0.59,32.6,64.2,85.6,0.089,0.385,4.3
Polyfibre TCS 16L,51,Medium,Polyester,1.25,1.23,2.4,4.2,7.3,19.89,41.2,29.7,39.5,59.3,22,,181.7,11.03,19.8,0.49,31.3,61.7,85.2,0.098,0.377,3.8
Polyfibre Black Venom 16 (1.30),51,Medium,Polyester,1.3,1.32,2.4,3.9,5.8,22.54,39.4,28,40.6,63.3,22.1,,210.9,9.9,18.28,0.42,28.7,56.4,86.7,0.097,0.42,4.3
Polyfibre Poly Hightec 16L,51,Medium,Polyester,1.25,1.23,2.4,3.9,6.7,20.37,41.1,29.6,39.2,59.8,22.1,,182.3,10.5,19.85,0.53,30.9,60.9,84.6,0.093,0.407,4.4
Polyfibre Poly Hightec 16/1.30,51,Medium,Polyester,1.3,1.31,1.5,3,5.2,21.87,40.3,29,40.8,62.6,22.7,,196.6,10.25,18.6,0.42,29.3,57.7,85.9,0.102,0.42,4.1
Prince Syn Gut Original 16,51,Medium,Nylon,1.3,1.3,6.7,7.6,8.5,40.64,35.4,28,36.6,77.2,27,,189.7,5.71,4.37,0.11,10.1,20.1,96.4,0.124,0.358,2.9
Prince Twisted 16L,51,Medium,Polyester,1.27,1.27,1.2,2.4,3,29.15,36.8,26.1,43.9,73,23.9,,261.7,7.47,14.1,0.22,21.8,43,90.4,0.096,0.355,3.7
Prince Premier Power 16,51,Medium,Nylon,1.3,NA,7.6,9.1,10.3,40.68,37.3,27.6,28,68.6,23.6,12,149.7,4.41,5.63,0.04,10.1,19.9,95.6,0.094,0.43,4.6
Prince Premier Touch 15L,51,Medium,Nylon,1.35,NA,2.4,3.6,4.8,39.6,37.3,27,28.9,68.6,23.2,11.7,161.2,4.41,6.71,0.2,11.2,22.3,95.3,0.106,0.464,4.4
Prince Topspin W/ Duraflex 15L,51,Medium,Nylon,1.38,1.41,7.3,8.2,9.4,42.16,36,25.9,30.6,72.8,23.6,,185.2,5.42,3.14,0.02,8.6,16.9,94.7,0.126,0.437,3.5
Prince Recoil 16,51,Medium,Nylon,1.3,1.36,7.3,8.5,9.4,39.2,35.9,28.1,35.5,74.7,26.2,,182.9,6.22,5.3,0.06,11.5,22.8,94.9,0.098,0.331,3.4
Prince Tour XC 16L,51,Medium,Polyester,1.22,NA,1.5,3,3.9,34.07,36.8,27.1,40.6,74.5,25.2,12,224,5.42,11.23,0.97,17.6,34.7,91.6,0.077,0.42,5.5
Prince Poly EXP 17,51,Medium,Polyester,1.25,1.26,1.5,3,3.6,29.06,37.2,26.9,41.9,71,23.9,,235.5,7.39,14.27,0.31,22.1,43.3,88.9,0.094,0.414,4.4
Prince Synthetic Gut 16 Duraflex,51,Medium,Nylon,1.3,1.3,7,8.5,9.4,40.84,36.4,26,30.2,71,23.1,,181.7,6.15,3.73,0.05,9.9,19.6,93.3,NA,NA,NA
Prince Tour XP 16,51,Medium,Polyester,1.3,NA,1.5,2.7,3.6,34.64,36.6,27,39.5,74.1,25,12.1,220,4.7,11.38,1.26,17.4,34.2,93.1,0.079,0.436,5.5
Prince Lightning XX 16,51,Medium,Nylon,1.3,1.3,7.6,8.2,9.4,41.43,36.2,26,30.9,72.3,23.5,,185.2,5.91,3.38,0.02,9.3,18.3,95.6,0.117,0.398,3.4
Prince Premier LT 18,51,Medium,Nylon,1.2,1.2,8.2,9.7,11.5,37.15,38,27.3,28.7,65.9,22.5,,157.2,7.23,6.34,0.11,13.7,27,95.6,0.109,0.38,3.5
Prince Premier Control 17,51,Medium,Nylon,1.25,NA,7.3,8.5,9.7,41.26,37.1,27.2,28.4,69.7,23.6,11.9,156.6,4.23,5.23,0.05,9.5,18.7,95.5,0.091,0.431,4.7
Prince Tournament Nylon 15L,51,Medium,Nylon,1.38,1.4,7.6,8.8,10,41.12,35.4,28,35.9,77,26.9,,185.7,6.02,3.58,0.08,9.7,19.1,94.7,0.116,0.361,3.1
Prince Syn Gut Original 17,51,Medium,Nylon,1.25,1.24,7.3,8.5,9.4,42.78,35.9,25.9,30.2,73,23.7,,182.9,4.65,3.29,0,7.9,15.7,94.9,0.112,0.421,3.8
Prince Premier Power 17,51,Medium,Nylon,1.25,NA,7.9,9.1,10.6,41.1,37.3,27.6,27.6,68.6,23.7,11.8,146.3,4.23,5.39,0,9.7,19,96,0.096,0.41,4.3
Prince Tour XT 18,51,Medium,Polyester,1.18,NA,2.1,3,4.2,31.82,37.6,28,38.1,70.1,24.5,11.7,198.3,4.74,14.16,0.29,19.2,37.8,92.5,0.067,0.427,6.4
Prince Lightning XX 17,51,Medium,Nylon,1.25,1.26,7,7.9,8.8,41.26,36.3,26,29.5,70.8,23,,177.2,5.78,3.68,0.03,9.5,18.7,96.4,0.11,0.387,3.5
Prince Premier Touch 17,51,Medium,Nylon,1.25,NA,2.4,4.2,5.5,38.94,37.8,27.5,26.9,65.9,22.7,11.6,144.6,4.23,7.55,0.2,11.9,23.6,95.1,0.111,0.465,4.2
Prince Premier LT 17,51,Medium,Nylon,1.25,1.26,8.8,10,11.2,36.21,37.3,29.8,33.7,70.1,26.1,,154.3,6,8.51,0.2,14.8,29,94.5,0.102,0.338,3.3
Prince Tour XC 15L,51,Medium,Polyester,1.35,NA,1.5,3,4.2,30.41,37.4,27.8,42.3,72.8,25.3,11.7,222.3,5.95,14.36,1.61,21.8,43.2,89.7,0.075,0.416,5.5
Prince Beast XP 16,51,Medium,Polyester,1.3,1.32,2.1,3.3,4.5,30.05,36.9,26.7,39.2,69.5,23.2,,223.5,7.28,13.39,0.22,20.9,41.2,91.2,0.104,0.409,3.9
Prince Synthetic Gut Multifilament 17,51,Medium,Nylon,1.24,1.27,7.6,8.8,9.7,39.65,37,26.1,29.1,68.8,22.4,,173.7,6.28,4.79,0.05,11,21.9,93.3,0.126,0.389,3.1
Prince Tour XP 15L,51,Medium,Polyester,1.35,NA,1.5,3,3.9,31,37.7,28,39.2,70.3,24.6,11.7,204,5.73,13.99,1.43,21.2,41.7,92.7,0.083,0.435,5.2
Prince Tournament Poly 17,51,Medium,Polyester,1.24,1.24,1.8,3,4.5,25.27,38.4,27.9,43,68.1,23.8,,224,8,17.45,0.29,25.8,50.7,86.7,NA,NA,NA
Prince Tour 16,51,Medium,Polyester,1.3,1.33,1.8,2.4,4.2,24.32,38.3,27.8,44.8,69,24,,234.9,8.73,17.67,0.2,26.7,52.4,87.2,0.108,0.332,3.1
Prince Premier Control 15,51,Medium,Nylon,1.4,NA,7.6,9.1,10.3,41.65,36.9,27,28.2,69.9,23.6,11.8,157.2,4.23,4.84,0.04,9,18,96.8,0.092,0.423,4.6
Prince Synthetic Gut 17 Duraflex,51,Medium,Nylon,1.22,315,6.7,7.9,95.5,40.46,36.2,26,32,72.5,23.6,,192.6,6.55,3.71,0.06,10.4,20.3,96.2,NA,NA,NA
Prince Tour 17,51,Medium,Polyester,1.25,1.28,1.8,3.3,4.8,23.11,39.1,28,43,66.2,23.2,,222.9,9.57,18.04,0.33,28,55.1,88.9,0.114,0.387,3.4
Prince Premier Power 18,51,Medium,Nylon,1.2,NA,8.2,8.5,11.2,40.68,37.6,27.9,27.3,67.9,23.7,11.8,142.9,4.23,5.81,0.06,10.1,19.9,95.8,0.086,0.43,5
Prince Tour XS 16,51,Medium,Polyester,1.25,NA,1.8,3,3.9,32.9,37,27.6,39.7,72.5,25.1,11.9,211.5,4.72,13.1,0.24,18.1,35.6,92,0.089,0.488,5.5
Prince Poly Spin 3D,51,Medium,Polyester,1.27,1.28,2.1,4.2,6.4,20.7,40.6,29.1,41.5,62.2,22.6,,199.5,10.74,19.28,0.37,30.4,59.9,85.6,0.113,0.373,3.3
Prince Premier Touch 16,51,Medium,Nylon,1.3,NA,NA,NA,NA,40.18,37.2,27,28,68.1,23,11.9,156,4.08,6.46,0.2,10.8,21.2,95.6,0.11,0.449,4.1
Prince Premier W/Softflex 16,51,Medium,Nylon,1.3,1.32,8.5,10,11.5,38.3,37.1,27.5,31.3,69.7,23.9,,169.2,6.06,6.36,0.04,12.3,24.6,94.9,0.134,0.437,3.3
Prince Synthetic Gut Multifilament 16,51,Medium,Nylon,1.3,1.33,7,8.5,9.1,40.92,36.5,26,29.5,70.6,22.9,,177.7,5.36,4.44,0.06,9.9,19.4,94.7,0.141,0.376,2.7
Prince Tour XC 17L,51,Medium,Polyester,1.22,NA,1.5,3,4.2,34.05,36.8,27.1,40.6,74.5,25.2,12,224.6,4.78,11.89,1.02,17.6,34.9,91.4,0.073,0.428,5.9
Prince Tournament Poly 16,51,Medium,Polyester,1.3,1.3,1.5,2.4,3.6,27.92,37.3,26.6,43.4,71.2,23.7,,249.7,7.72,15.08,0.29,23.2,45.5,88.9,0.09,NA,0
Prince Topspin Plus 16,51,Medium,Nylon,1.3,1.33,7,8.5,9.4,40.57,36.8,26.1,29.5,70.1,22.9,,177.2,5.56,4.59,-0.02,10.1,20,95.3,0.097,0.512,5.3
Prince Premier Control 15L,51,Medium,Nylon,1.35,NA,7.3,9.1,10,41.94,36.9,27,27.8,69.7,23.5,12.2,154.3,4.01,4.77,0.04,8.8,17.4,96,0.088,0.406,4.6
Prince Tour XS 1.35,51,Medium,Polyester,1.35,NA,0.9,2.1,3,33.96,36.8,27.3,39.5,73.4,25,11.9,215.5,4.26,12.5,1.11,17.9,35.2,93.5,0.072,0.359,5
Prince Premier W/ Softflex 17,51,Medium,Nylon,1.25,1.28,9.4,10.9,12.1,39.45,37.6,26.8,27.6,67,22.4,,156,5.82,5.45,-0.02,11.2,22.2,94.9,0.135,0.435,3.2
Prince Synthetic Gut 18 Duraflex,51,Medium,Nylon,1.17,1.2,6.7,7.9,8.8,41.19,36.7,26,28.4,69.7,22.6,,170.9,5.58,3.95,0,9.5,18.8,94.5,0.104,0.374,3.6
Prince Premier Control 16,51,Medium,Nylon,1.3,NA,7,8.2,9.1,42.12,36.8,27,28.7,70.8,23.8,12,160,3.97,4.63,0.05,8.6,17,95.6,0.087,0.471,5.4
RS RS Lyon 17,51,Medium,Polyester,1.25,NA,2.1,3.3,4.5,32.94,37.4,28,41.2,74.1,25.9,12.1,213.2,6.39,11.39,0.17,17.9,35.4,92.5,0.094,0.511,5.4
Signum Pro Poly Megaforce 17 (1.19),51,Medium,Polyester,1.19,1.21,1.8,2.4,3.6,32.48,36.5,26,40.1,72.8,23.6,,241.2,6.2,12.04,0.22,18.5,36.4,92.2,0.093,0.447,4.8
Signum Pro Poly-Plasma 17L (1.18),51,Medium,Polyester,1.18,1.19,2.1,3,2.1,30.78,37.3,26.7,39,69.9,23.3,,222.9,6.84,13.1,0.26,20.3,39.8,90.1,0.098,0.487,5
Signum Pro Hyperion 16,51,Medium,Polyester,1.3,1.35,1.5,NA,3,30.65,36.4,26,41.9,72.5,23.6,,251.5,7.25,12.82,0.33,20.3,40.2,90.8,0.096,0.443,4.6
Signum Pro Firestorm 1.25,51,Medium,Polyester,1.25,NA,2.7,4.2,5.5,27.69,35.9,26.1,38.6,66.4,21.6,12.2,230.3,6.86,16.17,0.15,23.2,45.7,92.5,0.086,0.413,4.8
Signum Pro Plasma HEXtreme 16L/1.25,51,Medium,Polyester,1.25,1.24,1.8,2.4,3.3,30.16,37.3,27,41,71.2,24,,228.6,7.45,13.11,0.26,20.7,41,89.3,0.076,0.451,5.9
Signum Pro Hyperion 17 (1.24),51,Medium,Polyester,1.24,1.26,2.1,3,3.9,29.66,37.3,26.9,39.9,69.5,23.4,,224,7.01,14.05,0.31,21.4,42.1,90.1,0.104,0.442,4.2
Signum Pro Poly-Plasma Pure 17 (1.23),51,Medium,Polyester,1.23,1.25,2.1,3,4.2,29.57,37.3,26.9,39.9,69.5,23.4,,225.2,7.17,13.98,0.38,21.6,42.4,89.9,0.086,0.449,5.2
Signum Pro Tornado 16,51,Medium,Polyester,1.29,1.33,1.8,3.3,4.2,27.03,37.3,27,43.4,70.6,23.8,,242.3,9.46,14.23,0.35,24,47.4,90.4,0.085,0.434,5.1
Signum Pro Poly Megaforce 16,51,Medium,Polyester,1.29,1.29,1.5,2.1,2.7,33.3,35.9,26,43.7,77,25,,261.7,7.19,10.23,0.11,17.4,34.6,89.3,0.097,0.42,4.3
Signum Pro Tornado 17 (1.23),51,Medium,Polyester,1.23,1.3,2.4,2.7,3.3,28.71,37.1,26.9,42.1,70.8,23.8,,235.5,7.72,14.29,0.27,22.3,43.9,91,0.091,0.441,4.8
Signum Pro Poly-Plasma Pure 17L (1.18),51,Medium,Polyester,1.18,1.19,2.1,3.3,4.5,28.95,38,27.2,39.5,68.4,23.2,,216.6,7.23,14.54,0.37,22.1,43.7,89.7,NA,0.391,NA
Signum Pro Poly-Plasma Pure 16L,51,Medium,Polyester,1.28,1.31,1.5,2.4,3.3,30.61,36.4,26,42.6,73.2,23.8,,256.6,7.5,12.61,0.27,20.3,40.2,91.2,0.083,0.467,5.6
Signum Pro Poly Speed Spin 1.28,51,Medium,Polyester,1.28,NA,1.2,2.1,3.3,30.61,35.9,26,46.3,77,25,,277.7,7.39,12.72,0.18,20.3,40,88,0.112,0.48,4.3
Signum Pro Poly-Plasma 16L,51,Medium,Polyester,1.28,1.3,1.8,2.4,2.7,31.31,36.3,26,42.6,73.9,24,,256,7.85,11.56,0.22,19.6,38.7,91.2,0.098,0.465,4.7
Solinco Vanquish 16,51,Medium,Nylon,1.3,1.34,7.3,8.5,10,40.55,36.9,26.1,28.2,68.8,22.4,,168.6,6,4.17,0.04,10.1,20.1,95.5,0.094,0.363,3.9
Solinco Revolution 17,51,Medium,Polyester,1.2,1.25,2.1,3.6,5.5,25.89,38.8,28,40.4,66.2,23.2,,209.2,9.48,15.35,0.38,25.1,49.7,88.2,0.072,0.476,6.6
Solinco Outlast 16,51,Medium,Polyester,1.3,1.35,1.5,2.7,3.9,27.28,37.6,27,42.3,69.7,23.5,,236,8.16,15.28,0.33,23.8,46.9,89.1,0.069,0.416,6
Solinco Tour Bite Diamond Rough 17 (1.20),51,Medium,Polyester,1.2,NA,3.6,6.1,7,29.35,38.1,28,39.2,68.8,24.1,11.3,203.5,6.46,14.91,0.35,21.8,42.8,91,0.119,0.516,4.3
Solinco Tour Bite 16,51,Medium,Polyester,1.3,1.34,1.8,3.3,4.2,27.45,37.7,27,41.7,69,23.3,,232,9.46,13.81,0.31,23.6,46.5,89.7,0.085,0.573,6.7
Solinco Tour Bite 16L (1.25),51,Medium,Polyester,1.25,NA,1.5,2.7,3.3,38.37,34.4,24.9,39.7,78.1,24.4,,259.5,3.75,8.6,0.18,12.6,24.7,92.5,0.085,0.505,5.9
Solinco Outlast 17,51,Medium,Polyester,1.2,1.24,2.4,4.2,5.8,25.91,39.1,28,39.7,65.5,23,,205.2,8.67,16.14,0.46,25.4,49.8,90.8,0.074,0.406,5.5
Solinco Tour Bite Diamond Rough 16 (1.30),51,Medium,Polyester,1.3,NA,2.4,5.2,7,25.03,38.9,28.6,42.1,67.3,24,11.2,209.7,8.82,16.87,0.44,26.2,51.5,88.5,0.111,0.54,4.9
Solinco Tour Bite 17,51,Medium,Polyester,1.2,1.23,2.4,4.5,5.8,26.75,38.9,28,38.6,65.3,22.9,,200,8.31,15.66,0.38,24.3,48,88.2,0.079,0.499,6.3
Solinco Barb Wire 17 (1.20),51,Medium,Polyester,1.2,1.25,2.1,3.3,4.5,29.55,37.9,27.1,37.3,66.8,22.6,,206.3,6.35,14.82,0.27,21.4,42.3,90.4,0.113,0.557,4.9
Solinco Revolution 16,51,Medium,Polyester,1.3,1.33,1.8,2.4,NA,27.32,37.4,26.8,43.7,71,23.8,,247.5,8.33,15.07,0.37,23.8,46.9,89.1,0.07,0.451,6.4
Solinco Barb Wire 16,51,Medium,Polyester,1.3,1.38,2.1,2.7,3,30.89,36.5,26,40.8,71.7,23.3,,244.6,7.41,12.42,0.11,19.8,39.3,90.8,0.123,0.542,4.4
Solinco Hyper-G 16,51,Medium,Polyester,16,NA,1.5,2.7,3.3,37.9,35.3,26,40.4,78.3,25.4,12.6,242.3,3.95,8.87,0.15,13,25.6,93.1,0.09,0.631,7
Solinco Tour Bite Diamond Rough 16L (1.25),51,Medium,Polyester,1.25,NA,2.7,5.2,6.4,27.47,38.1,28,42.3,69.9,24.5,11.6,218.9,8.62,14.63,0.22,23.4,46.3,92.4,0.095,0.516,5.4
Solinco Tour Bite 16 Soft,51,Medium,Polyester,1.3,NA,2.4,4.5,5.8,25.82,38.2,28,39.9,65.7,23,11.6,207.5,7.06,17.84,0.35,25.1,49.8,90.4,0.08,0.549,6.9
Solinco Tour Bite 18 (1.15),51,Medium,Polyester,1.15,1.18,3.6,5.2,6.7,25.6,39.6,28.1,36.4,62,21.8,,187.5,8.56,16.56,0.33,25.4,50.2,89.3,0.097,0.563,5.8
Super String Tour Players V3 17 (1.20),51,Medium,Polyester,1.2,1.21,2.4,3.3,4.5,28.38,37.9,27.2,39.7,68.1,23.1,,218.3,7.5,14.84,0.24,22.5,44.5,89.7,NA,NA,NA
SuperString Nikita Original 1.25,51,Medium,Polyester,1.25,1.26,2.4,3.6,4.8,29.46,37.3,27,39.5,69,23.3,,220.6,7.63,13.63,0.2,21.4,42.3,90.8,0.109,0.371,3.4
SuperString VooDoo Tour V9 17,51,Medium,Nylon/Polyester,1.2,1.25,3.9,5.2,6.1,35.17,37.8,27,29.8,65,21.9,,166.3,5.8,9.75,0.18,15.7,31,93.7,NA,NA,NA
SuperString Viper V2 Rough 16L,51,Medium,Polyester,1.25,1.32,2.1,3,4.2,31.55,37,26.4,37.9,69.7,23,,221.7,6.17,13,0.11,19.2,38,92.2,0.097,0.486,5
SuperString Pure Control V8 17,51,Medium,Polyester,1.2,1.3,7,9.1,11.5,25.62,39.6,28.2,36.2,61.7,21.8,,185.7,10.25,14.85,0.22,25.4,49.9,90.2,NA,NA,NA
SuperString Nikita Soft 16L,51,Medium,Polyester,1.25,1.27,4.2,6.1,7.9,26.28,38.7,28,39,65.3,22.9,,202.3,9.57,14.87,0.28,24.7,48.7,88.4,0.085,NA,0
Tecnifibre Black Code 17,51,Medium,Polyester,1.24,1.26,1.5,2.4,2.7,30.85,36.2,26,42.8,73.6,23.9,,256.6,7.36,12.51,0.29,20.1,39.7,89.5,0.118,0.5,4.2
Tecnifibre Pro Red Code 16,51,Medium,Polyester,1.3,NA,1.5,2.1,2.7,33.52,35.9,26,43.7,77.2,25.1,,261.7,6.5,10.7,0.22,17.4,34.3,88,0.078,0.384,4.9
Tecnifibre Polyspin 16L,51,Medium,Polyester,1.27,1.29,1.5,2.1,2.4,32.81,36.1,26,43.2,75.9,24.7,,259.5,6.59,11.32,0.26,18.1,35.8,92.5,0.103,0.393,3.8
Tecnifibre E-Matrix 16,51,Medium,Nylon/Polyurethane,1.3,1.32,8.8,10.3,11.5,40.81,37.2,26.1,25.8,66.6,21.7,,154.3,5.64,4.27,0.02,9.9,19.6,95.8,0.142,0.384,2.7
Tecnifibre X-Code 16,51,Medium,Polyester,1.3,1.33,3,3.9,5.5,31.8,37.4,26.4,37,68.8,22.7,,215.5,6.46,12.46,0.09,19,37.5,91.4,0.21,0.416,2
Tecnifibre TGV 17/1.25,51,Medium,Nylon/Polyurethane,1.25,1.28,7.3,8.5,9.7,40.37,36.5,26,29.1,69.5,22.6,,174.3,5.25,5.1,-0.03,10.4,20.3,94.3,0.149,0.454,3
Tecnifibre Black Code 16,51,Medium,Polyester,1.28,1.31,1.5,2.4,2.7,32.26,35.6,25.9,43.7,75.9,24.6,,264.6,7.1,11.36,0.29,18.7,37,89.5,NA,NA,NA
Tecnifibre XR3 17,51,Medium,Nylon/Polyurethane,1.25,1.26,7,7.9,9.1,41.78,36.5,26,27.6,69.5,22.6,,166.3,4.34,4.6,-0.07,8.8,17.5,95.3,0.159,0.474,3
Tecnifibre Pro Red Code 17,51,Medium,Polyester,1.25,1.27,1.8,2.4,3.3,32.7,36,26,40.8,73.6,23.9,,245.7,6.55,11.47,0.22,18.3,36,90.8,0.092,0.439,4.8
Tecnifibre Black Code 18,51,Medium,Polyester,1.18,1.19,2.4,3,3.9,30.5,37.1,26.5,39.2,69.9,23.1,,228,7.5,12.72,0.29,20.5,40.4,90.4,0.104,0.474,4.6
Tecnifibre NRG2 16,51,Medium,Nylon,1.32,NA,7.3,7.9,9.1,41.7,36.9,26.3,28.7,70.3,23.2,,168.6,5.42,3.6,0.05,9,17.9,93.9,0.155,0.503,3.2
Tecnifibre Pro Mix 16,51,Medium,Nylon/Polyester,1.3,1.33,7.3,9.1,10.9,31.95,38.8,28,32.4,64.4,22.5,,168,7.06,11.71,0.13,19,37.3,93.1,0.169,0.432,2.6
Tecnifibre Black Code 4S 17 (1.25),51,Medium,Polyester,1.25,NA,2.1,3.3,3.9,36.87,36.3,27,41.5,78.3,26.4,13.1,230.9,4.85,9,0.16,14.1,27.6,93.1,0.067,0.658,9.8
Tecnifibre X-One Biphase 16,51,Medium,Nylon/Polyurethane,1.3,1.32,6.4,7.3,8.5,42.01,36.5,26,27.8,69.7,22.7,,166.9,5.14,3.57,0,8.8,17.2,96.6,0.314,0.502,1.6
